tree_size,capacity,element_id,insertion_time_ms,anomaly_level,is_anomaly,distance_to_radius
1000,6,ID_0_N,0.001000,1,1,0.000000
1000,6,ID_1_N,0.009000,1,1,0.000000
1000,6,ID_2_N,0.003000,1,1,0.000000
1000,6,ID_3_N,0.001000,0,0,0.000000
1000,6,ID_4_N,0.003000,1,1,0.000000
1000,6,ID_5_N,0.002000,1,1,0.000000
1000,6,ID_6_N,0.006000,1,1,0.000000
1000,6,ID_7_N,0.004000,1,1,0.000000
1000,6,ID_8_N,0.018000,1,1,0.000000
1000,6,ID_9_N,0.003000,1,1,0.000000
5000,6,ID_0_N,0.003000,1,1,0.000000
5000,6,ID_1_N,0.006000,0,0,0.000000
5000,6,ID_2_N,0.008000,1,1,0.000000
5000,6,ID_3_N,0.002000,1,1,0.000000
5000,6,ID_4_N,0.004000,0,0,0.000000
5000,6,ID_5_N,0.006000,1,1,0.000000
5000,6,ID_6_N,0.026000,1,1,0.000000
5000,6,ID_7_N,0.003000,1,1,0.000000
5000,6,ID_8_N,0.002000,1,1,0.000000
5000,6,ID_9_N,0.010000,0,0,0.000000
10000,6,ID_0_N,0.003000,0,0,0.000000
10000,6,ID_1_N,0.008000,1,1,0.000000
10000,6,ID_2_N,0.012000,1,1,0.000000
10000,6,ID_3_N,0.003000,1,1,0.000000
10000,6,ID_4_N,0.002000,1,1,0.000000
10000,6,ID_5_N,0.003000,1,1,0.000000
10000,6,ID_6_N,0.002000,1,1,0.000000
10000,6,ID_7_N,0.006000,1,1,0.000000
10000,6,ID_8_N,0.001000,0,0,0.000000
10000,6,ID_9_N,0.003000,1,1,0.000000
50000,6,ID_0_N,0.005000,1,1,0.000000
50000,6,ID_1_N,0.010000,0,0,0.000000
50000,6,ID_2_N,0.004000,1,1,0.000000
50000,6,ID_3_N,0.004000,1,1,0.000000
50000,6,ID_4_N,0.020000,1,1,0.000000
50000,6,ID_5_N,0.007000,0,0,0.000000
50000,6,ID_6_N,0.008000,1,1,0.000000
50000,6,ID_7_N,0.004000,1,1,0.000000
50000,6,ID_8_N,0.008000,0,0,0.000000
50000,6,ID_9_N,0.007000,1,1,0.000000
1000,8,ID_0_N,0.004000,1,1,0.000000
1000,8,ID_1_N,0.001000,0,0,0.000000
1000,8,ID_2_N,0.003000,1,1,0.000000
1000,8,ID_3_N,0.004000,1,1,0.000000
1000,8,ID_4_N,0.002000,1,1,0.000000
1000,8,ID_5_N,0.001000,0,0,0.000000
1000,8,ID_6_N,0.013000,1,1,0.000000
1000,8,ID_7_N,0.001000,0,0,0.000000
1000,8,ID_8_N,0.002000,0,0,0.000000
1000,8,ID_9_N,0.002000,1,1,0.000000
5000,8,ID_0_N,0.002000,0,0,0.000000
5000,8,ID_1_N,0.014000,1,1,0.000000
5000,8,ID_2_N,0.003000,1,1,0.000000
5000,8,ID_3_N,0.003000,1,1,0.000000
5000,8,ID_4_N,0.012000,0,0,0.000000
5000,8,ID_5_N,0.003000,1,1,0.000000
5000,8,ID_6_N,0.001000,0,0,0.000000
5000,8,ID_7_N,0.001000,1,1,0.000000
5000,8,ID_8_N,0.001000,0,0,0.000000
5000,8,ID_9_N,0.018000,1,1,0.000000
10000,8,ID_0_N,0.002000,0,0,0.000000
10000,8,ID_1_N,0.003000,0,0,0.000000
10000,8,ID_2_N,0.003000,1,1,0.000000
10000,8,ID_3_N,0.005000,1,1,0.000000
10000,8,ID_4_N,0.001000,0,0,0.000000
10000,8,ID_5_N,0.009000,1,1,0.000000
10000,8,ID_6_N,0.015000,1,1,0.000000
10000,8,ID_7_N,0.006000,1,1,0.000000
10000,8,ID_8_N,0.002000,1,1,0.000000
10000,8,ID_9_N,0.002000,1,1,0.000000
50000,8,ID_0_N,0.004000,0,0,0.000000
50000,8,ID_1_N,0.003000,0,0,0.000000
50000,8,ID_2_N,0.009000,1,1,0.000000
50000,8,ID_3_N,0.004000,1,1,0.000000
50000,8,ID_4_N,0.020000,1,1,0.000000
50000,8,ID_5_N,0.004000,1,1,0.000000
50000,8,ID_6_N,0.004000,1,1,0.000000
50000,8,ID_7_N,0.004000,0,0,0.000000
50000,8,ID_8_N,0.003000,0,0,0.000000
50000,8,ID_9_N,0.010000,1,1,0.000000
1000,10,ID_0_N,0.000000,0,0,0.000000
1000,10,ID_1_N,0.000000,1,1,0.000000
1000,10,ID_2_N,0.000000,1,1,0.000000
1000,10,ID_3_N,0.000000,0,0,0.000000
1000,10,ID_4_N,0.000000,1,1,0.000000
1000,10,ID_5_N,0.003000,0,0,0.000000
1000,10,ID_6_N,0.001000,0,0,0.000000
1000,10,ID_7_N,0.001000,1,1,0.000000
1000,10,ID_8_N,0.000000,0,0,0.000000
1000,10,ID_9_N,0.000000,0,0,0.000000
5000,10,ID_0_N,0.003000,0,0,0.000000
5000,10,ID_1_N,0.015000,1,1,0.000000
5000,10,ID_2_N,0.003000,1,1,0.000000
5000,10,ID_3_N,0.003000,1,1,0.000000
5000,10,ID_4_N,0.005000,0,0,0.000000
5000,10,ID_5_N,0.012000,1,1,0.000000
5000,10,ID_6_N,0.002000,1,1,0.000000
5000,10,ID_7_N,0.001000,0,0,0.000000
5000,10,ID_8_N,0.001000,1,1,0.000000
5000,10,ID_9_N,0.007000,1,1,0.000000
10000,10,ID_0_N,0.003000,1,1,0.000000
10000,10,ID_1_N,0.002000,1,1,0.000000
10000,10,ID_2_N,0.004000,1,1,0.000000
10000,10,ID_3_N,0.003000,1,1,0.000000
10000,10,ID_4_N,0.003000,1,1,0.000000
10000,10,ID_5_N,0.001000,0,0,0.000000
10000,10,ID_6_N,0.003000,1,1,0.000000
10000,10,ID_7_N,0.003000,1,1,0.000000
10000,10,ID_8_N,0.008000,1,1,0.000000
10000,10,ID_9_N,0.003000,1,1,0.000000
50000,10,ID_0_N,0.003000,0,0,0.000000
50000,10,ID_1_N,0.004000,1,1,0.000000
50000,10,ID_2_N,0.003000,1,1,0.000000
50000,10,ID_3_N,0.009000,1,1,0.000000
50000,10,ID_4_N,0.004000,1,1,0.000000
50000,10,ID_5_N,0.003000,1,1,0.000000
50000,10,ID_6_N,0.003000,0,0,0.000000
50000,10,ID_7_N,0.003000,0,0,0.000000
50000,10,ID_8_N,0.004000,1,1,0.000000
50000,10,ID_9_N,0.003000,0,0,0.000000
